flight_time,distance_to_goal,success,collision,termination_reason,gui,walls,hole_width,hole_height,padding,run_id
7.141666666666581,2.1130925035500456,False,True,collision,False,3,0.45,0.75,0.03,4
7.674999999999884,0.0981688716519801,True,False,goal_reached,False,3,0.45,0.75,0.05,2
3.8708333333334206,3.4924920565522224,False,True,collision,False,3,0.45,0.75,0.05,4
5.8833333333333195,3.184653993184643,False,True,collision,False,3,0.45,0.75,0.05,0
2.470833333333351,5.61610006756316,False,True,collision,False,3,0.45,0.75,0.07,0
2.570833333333356,5.998942749438151,False,True,collision,False,3,0.45,0.75,0.05,3
8.079166666666529,0.09732917775227418,True,False,goal_reached,False,3,0.45,0.75,0.07,1
4.595833333333393,3.820526080507892,False,True,collision,False,3,0.45,0.75,0.07,3
6.504166666666618,1.2426181788710817,False,True,collision,False,3,0.45,0.75,0.07,4
2.1541666666666686,5.519509684134764,False,True,collision,False,3,0.55,0.35,0.03,0
6.354166666666626,1.7819391315121915,False,True,collision,False,3,0.45,0.75,0.07,2
2.6208333333333584,5.4189784390312585,False,True,collision,False,3,0.55,0.35,0.03,1
6.733333333333271,0.0982195486862313,True,False,goal_reached,False,3,0.55,0.35,0.05,0
3.720833333333413,3.7464031346499858,False,True,collision,False,3,0.55,0.35,0.03,4
2.8458333333333696,5.128646935893742,False,True,collision,False,3,0.55,0.35,0.05,1
4.204166666666748,3.16799018761025,False,True,collision,False,3,0.55,0.35,0.03,3
5.033333333333368,3.1932816280428598,False,True,collision,False,3,0.55,0.35,0.05,3
5.000000000000036,3.7940054933118788,False,True,collision,False,3,0.55,0.35,0.05,2
6.920833333333261,1.877151822770775,False,True,collision,False,3,0.55,0.35,0.05,4
5.87083333333332,2.2099422215243596,False,True,collision,False,3,0.55,0.35,0.07,0
9.679166666666438,0.09840504703691567,True,False,goal_reached,False,3,0.55,0.35,0.07,2
7.745833333333214,1.2759208984898507,False,True,collision,False,3,0.45,0.65,0.03,4
6.7458333333332705,1.8206224765597356,False,True,collision,False,3,0.55,0.45,0.03,0
9.287499999999794,1.3643046512561003,False,True,collision,False,3,0.45,0.45,0.07,0
3.795833333333417,3.2733611205662094,False,True,collision,False,3,0.55,0.45,0.03,2
2.0249999999999955,5.403219492262738,False,True,collision,False,3,0.55,0.45,0.03,1
8.412499999999843,1.685765790585693,False,True,collision,False,3,0.55,0.45,0.03,3
7.245833333333242,1.3631219544525852,False,True,collision,False,3,0.55,0.35,0.03,2
4.541666666666729,3.278099133235328,False,True,collision,False,3,0.55,0.45,0.05,0
1.799999999999995,6.096285523381467,False,True,collision,False,3,0.55,0.45,0.05,2
8.324999999999848,1.385504959272919,False,True,collision,False,3,0.55,0.35,0.07,3
6.491666666666618,1.2810906319407784,False,True,collision,False,3,0.55,0.45,0.05,1
6.3874999999999575,1.7165243951102305,False,True,collision,False,3,0.55,0.45,0.05,3
7.6666666666665515,0.09685342785941367,True,False,goal_reached,False,3,0.55,0.45,0.07,0
6.691666666666607,0.09653832446948561,True,False,goal_reached,False,3,0.55,0.45,0.07,1
